title,body,labels,status,milestone
B28 — Frontend Unit Tests (Vanilla JS),"**Backlog ID**: B28

**Issue #28: Frontend Unit Tests (Vanilla JS)**

**Description**
Test services and DOM-light components; set up coverage reporting and CI gate.

**Learning Goals**
- Testable architecture.  
- Deterministic unit tests.  
- Coverage instrumentation.

**Acceptance Criteria**
- [ ] Test runner configured (e.g., Vitest/Jest without bundling).  
- [ ] Coverage threshold ≥ 70% project-wide.  
- [ ] Mocks for services; snapshot tests for simple markup.

**Subtasks**
- [ ] CI workflow to run tests on PR.

**Depends On**: #5, #8, #12, #19

**Suggested Branch**: `feature/issue-28-frontend-tests`","type-feature, component-testing, priority-high, backlog-import-2025-08",open,Milestone 4
B29 — Backend Tests (Flask),"**Backlog ID**: B29

**Issue #29: Backend Tests (Flask)**

**Description**
Unit/integration tests for auth endpoints and private file serving.

**Learning Goals**
- API testing with Flask client.  
- Fixtures and token helpers.

**Acceptance Criteria**
- [ ] Happy path login/validate; 401s for bad password/token.  
- [ ] Private file 401 without token; 200 with token; 404 for missing.  
- [ ] Rate-limit simulation test (basic).

**Subtasks**
- [ ] PyTest config & coverage report.

**Depends On**: #3, #16

**Suggested Branch**: `feature/issue-29-backend-tests`","type-feature, component-testing, priority-high, backlog-import-2025-08",open,Milestone 4
B30 — Integration Tests (Dev Environment),"**Backlog ID**: B30

**Issue #30: Integration Tests (Dev Environment)**

**Description**
E2E flow: login → navigate to private → open file → logout; plus search and graph basic journeys.

**Learning Goals**
- Black‑box testing mindset.  
- Deterministic fixtures.

**Acceptance Criteria**
- [ ] Headless browser or script validating UI+API integration.  
- [ ] Stable sample content under `content/private/_samples`.  
- [ ] CI job runs E2E nightly and on PR label.

**Subtasks**
- [ ] Retry helpers and screenshots on failure (optional).

**Depends On**: #4, #7, #16, #17

**Suggested Branch**: `feature/issue-30-e2e`","type-feature, component-testing, priority-high, backlog-import-2025-08",open,Milestone 4
B31 — Security Tests & Static Checks,"**Backlog ID**: B31

**Issue #31: Security Tests & Static Checks**

**Description**
Add static analysis (JS/CSS/Python), token tamper/replay tests, and basic dependency audit.

**Learning Goals**
- Shift-left security.  
- Threat modeling to test cases.

**Acceptance Criteria**
- [ ] ESLint/stylelint/flake8 configured in CI.  
- [ ] Token replay/tamper tests fail safely.  
- [ ] Dependency audit step (npm/pip) with report.

**Subtasks**
- [ ] Baseline vulnerabilities list in `docs/security.md`.

**Depends On**: #16, #18

**Suggested Branch**: `feature/issue-31-security-static`","type-feature, component-testing, priority-medium, backlog-import-2025-08",open,Milestone 4
B32 — Keep README & Architecture Docs Updated,"**Backlog ID**: B32

**Issue #32: Keep README & Architecture Docs Updated**

**Description**
Continuously align README, architecture diagrams, and change log with the codebase.

**Learning Goals**
- Docs-as-code workflows.  
- Communicating design decisions.

**Acceptance Criteria**
- [ ] README quickstart verified quarterly or per milestone.  
- [ ] Diagrams updated for major structure changes.  
- [ ] `docs/CHANGELOG.md` entries per release.

**Subtasks**
- [ ] Doc CI check (links, anchors).

**Depends On**: Ongoing

**Suggested Branch**: `docs/issue-32-readme-arch`","type-documentation, component-docs, priority-medium, backlog-import-2025-08",open,Milestone 4
B33 — User Guide — Content & Metadata,"**Backlog ID**: B33

**Issue #33: User Guide — Content & Metadata**

**Description**
Write a user-facing guide on adding files, writing metadata, and linking topics.

**Learning Goals**
- Clear instructional writing.  
- Examples-first documentation.

**Acceptance Criteria**
- [ ] Step-by-step guide with screenshots/GIFs.  
- [ ] FAQs and common errors section.  
- [ ] Cross-links to schema and tools.

**Subtasks**
- [ ] Short video/gif capture pipeline (optional).

**Depends On**: #2, #10

**Suggested Branch**: `docs/issue-33-user-guide`","type-documentation, component-docs, priority-medium, backlog-import-2025-08",open,Milestone 4
B34 — Developer Guide — Setup & Workflow,"**Backlog ID**: B34

**Issue #34: Developer Guide — Setup & Workflow**

**Description**
Consolidate setup steps, scripts reference, debugging tips, and quality gates for onboarding.

**Learning Goals**
- Onboarding experience.  
- Troubleshooting checklists.

**Acceptance Criteria**
- [ ] End-to-end local setup with screenshots.  
- [ ] Known issues & fixes page.  
- [ ] Links to tests, scripts, and style guides.

**Subtasks**
- [ ] “First bug to fix” checklist for newcomers.

**Depends On**: #4, #28, #29

**Suggested Branch**: `docs/issue-34-developer-guide`","type-documentation, component-docs, priority-medium, backlog-import-2025-08",open,Milestone 4
B35 — Client‑Side Caching & Prefetching,"**Backlog ID**: B35

**Issue #35: Client‑Side Caching & Prefetching**

**Description**
Cache indexes and metadata with versioning; prefetch likely-next content on hover/idle.

**Learning Goals**
- Cache invalidation strategies.  
- UX vs bandwidth trade-offs.

**Acceptance Criteria**
- [ ] Versioned cache with purge controls.  
- [ ] Prefetch heuristics (hover, idle).  
- [ ] Metrics: cache hit rate logged.

**Subtasks**
- [ ] Toggle prefetch via settings.

**Depends On**: #10, #19

**Suggested Branch**: `feature/issue-35-caching`","type-feature, component-performance, priority-medium, backlog-import-2025-08",open,Milestone 4
B36 — Search Index Compression,"**Backlog ID**: B36

**Issue #36: Search Index Compression**

**Description**
Compact index data structures; optionally gzip/brotli via hosting.

**Learning Goals**
- Data compaction techniques.  
- Measuring size vs accuracy.

**Acceptance Criteria**
- [ ] Memory footprint reduced by ≥ 30% without accuracy loss.  
- [ ] Load time improvement reported.  
- [ ] Configurable compression toggle.

**Subtasks**
- [ ] Benchmark script.

**Depends On**: #10, #9

**Suggested Branch**: `feature/issue-36-index-compress`","type-feature, component-performance, priority-medium, backlog-import-2025-08",open,Milestone 4
B37 — Graph Rendering Optimization,"**Backlog ID**: B37

**Issue #37: Graph Rendering Optimization**

**Description**
Optimize the graph visualization for large node counts with batching and level-of-detail.

**Learning Goals**
- Rendering pipelines and throttling.  
- LOD techniques.

**Acceptance Criteria**
- [ ] Stable ≥ 50 FPS for 1k nodes on mid-tier laptop.  
- [ ] LOD reduces labels/edges when zoomed out.  
- [ ] Perf diagnostics overlay.

**Subtasks**
- [ ] Frame scheduler utility.

**Depends On**: #14

**Suggested Branch**: `feature/issue-37-graph-perf`","type-feature, component-performance, priority-medium, backlog-import-2025-08",open,Milestone 4
B38 — Asset Optimization & Lazy Loading,"**Backlog ID**: B38

**Issue #38: Asset Optimization & Lazy Loading**

**Description**
Implement lazy loading for images/PDFs, compress assets, and defer non-critical JS.

**Learning Goals**
- Modern image formats, responsive images.  
- Defer/async scripts best practices.

**Acceptance Criteria**
- [ ] Lazy load non-critical assets with placeholders.  
- [ ] Lighthouse performance ≥ 90 on homepage.  
- [ ] Compression pipeline documented.

**Subtasks**
- [ ] Generate thumbnails for large images.

**Depends On**: #20, #23

**Suggested Branch**: `feature/issue-38-asset-opt`","type-feature, component-performance, priority-medium, backlog-import-2025-08",open,Milestone 4
B39 — Static Site Deployment & Hosting Configuration,"**Backlog ID**: B39

**Issue #39: Static Site Deployment & Hosting Configuration**

**Description**
Harden production deploy: static CDN hosting for frontend, optional backend host, security headers, HTTPS, and monitoring/analytics.

**Learning Goals**
- Static hosting configs and headers.  
- Basic monitoring/analytics wiring.

**Acceptance Criteria**
- [ ] GitHub Pages/Netlify config committed; custom domain optional.  
- [ ] Security headers and HTTPS enforced.  
- [ ] Monitoring enabled; baseline error budget defined.  
- [ ] Deployment guide finalized in `docs/`.

**Subtasks**
- [ ] Healthcheck route + uptime check.

**Depends On**: #23, #27

**Suggested Branch**: `feature/issue-39-deploy-config`","type-feature, component-performance, priority-high, backlog-import-2025-08",open,Milestone 4
